1000 10000
357 358 9
312 309 26
243 64 67
335 425 74
837 948 83
333 991 62
928 530 49
658 583 60
885 634 50
494 639 70
764 367 20
959 662 84
893 736 40
873 921 84
268 84 54
660 62 44
473 238 87
599 430 71
543 507 8
793 800 92
774 938 61
36 30 89
100 813 69
808 673 22
784 592 22
36 669 68
197 399 3
46 745 50
765 592 48
363 828 80
507 427 56
793 71 80
385 952 85
650 552 42
148 31 26
709 696 58
898 34 40
662 45 67
8 524 63
456 726 42
187 22 54
434 596 17
898 841 89
540 133 89
111 919 90
160 385 53
64 738 37
548 891 86
82 443 18
358 175 20
470 600 16
808 488 80
450 809 12
164 187 90
707 331 71
368 517 1
63 471 7
772 155 1
950 641 51
290 628 78
77 732 77
497 101 65
46 95 42
166 220 93
957 251 40
663 573 87
304 249 89
27 776 54
532 628 2
616 382 15
157 631 19
760 820 75
2 218 43
249 892 18
987 103 53
20 624 27
763 24 44
530 455 77
608 100 46
728 603 41
106 487 24
768 0 83
595 66 95
579 129 31
134 766 62
884 565 89
768 541 13
287 735 36
138 505 15
825 699 38
823 693 40
125 533 60
987 370 34
667 393 84
379 304 50
635 419 16
46 508 86
931 709 61
52 66 28
344 538 73
544 139 56
710 874 96
928 950 10
724 649 23
619 686 42
509 683 81
830 709 97
353 983 21
971 995 42
72 113 4
244 86 82
138 10 26
756 213 26
234 229 90
839 662 98
468 504 28
423 924 55
84 468 21
788 741 35
859 621 19
613 31 98
779 866 51
504 421 13
803 980 26
58 407 96
105 25 2
696 252 23
723 900 41
488 343 56
426 69 89
610 752 89
460 954 89
345 170 69
42 782 16
879 835 62
641 103 34
983 74 6
761 486 71
924 22 100
243 534 54
63 600 66
512 233 69
574 548 5
275 44 71
40 796 77
934 871 20
159 777 2
187 555 31
917 773 18
951 606 100
967 497 50
381 287 76
369 731 37
368 860 29
586 150 32
927 110 44
57 272 44
617 865 77
632 980 42
326 460 11
441 799 26
193 417 95
712 466 74
552 542 68
85 251 36
337 728 63
688 682 36
432 649 4
993 931 84
929 765 98
737 671 18
527 696 53
450 496 96
555 885 90
351 670 5
492 591 60
80 536 78
478 144 2
300 124 38
459 277 7
192 205 20
962 246 15
747 210 49
713 148 97
556 332 97
533 863 10
361 766 76
500 449 42
710 337 5
148 491 95
975 612 69
10 52 72
163 658 32
139 799 10
219 3 42
39 819 65
54 622 72
45 470 49
337 842 79
902 561 16
272 325 55
423 805 42
652 446 91
851 328 8
550 104 94
346 90 59
906 693 20
934 969 97
429 938 87
501 372 25
572 188 98
512 955 22
422 964 9
218 589 62
393 575 94
31 537 17
938 979 74
657 780 46
318 584 78
299 561 35
524 57 13
994 730 28
111 774 50
489 367 70
856 463 74
946 122 24
242 97 30
188 528 46
643 313 29
369 97 6
703 474 100
620 873 87
991 307 90
16 913 91
616 124 19
531 75 50
114 12 63
492 268 66
386 624 8
250 841 59
236 412 40
435 289 3
864 438 86
389 415 39
538 665 75
298 265 19
180 579 81
817 181 21
242 359 82
725 752 72
765 754 42
58 585 77
650 454 45
995 943 36
646 122 53
698 142 28
364 146 59
836 995 47
651 678 25
940 552 42
92 354 89
3 649 24
392 833 89
487 500 50
769 452 78
552 990 10
543 831 64
889 634 31
310 473 18
129 108 29
784 441 48
229 922 27
901 604 49
836 251 74
224 478 38
149 885 97
958 198 8
560 742 95
755 225 66
19 70 57
605 327 81
253 200 60
611 758 99
716 57 83
67 93 100
567 700 82
638 924 57
226 70 86
674 223 11
935 236 84
89 573 49
324 780 50
811 110 1
775 871 58
458 714 75
170 642 47
61 924 24
217 958 24
386 391 87
991 128 51
829 306 51
120 443 26
674 62 86
76 415 29
369 618 19
874 314 32
220 816 8
320 318 68
647 551 62
33 380 12
561 340 44
73 308 38
162 948 97
452 550 11
612 889 54
745 162 13
634 949 10
961 382 96
791 406 89
367 761 2
98 805 2
226 506 47
318 587 47
746 359 38
649 697 90
525 999 47
901 896 25
334 901 91
188 342 1
658 282 66
309 778 17
647 659 50
444 389 32
650 661 25
252 503 63
231 80 10
804 161 14
446 12 27
942 475 21
737 788 37
80 82 3
776 715 12
271 226 29
480 443 10
655 333 18
261 21 51
238 282 63
267 928 20
840 715 16
650 912 49
936 662 72
898 145 62
859 250 35
240 426 40
766 566 39
780 223 37
501 953 78
343 833 26
331 860 24
203 431 49
766 248 81
700 895 37
210 225 32
247 577 5
704 811 65
789 989 4
542 887 54
280 304 63
16 42 86
861 719 71
642 885 81
399 800 76
830 614 9
298 873 1
180 549 65
611 515 5
949 839 63
817 205 81
272 471 64
958 771 74
170 423 25
862 550 85
384 608 7
439 752 48
25 196 40
737 452 71
216 646 11
171 749 82
790 104 98
973 523 91
401 206 65
330 695 87
378 775 48
800 370 24
232 586 64
696 444 65
146 997 8
578 559 37
469 344 10
738 321 30
27 707 6
788 162 30
633 302 90
429 702 11
793 539 70
867 553 96
783 765 3
304 805 17
940 367 22
913 329 16
869 336 61
126 244 53
371 157 44
242 416 71
445 119 3
978 178 65
118 523 75
4 270 25
476 13 66
540 862 88
266 962 27
50 776 74
567 36 72
860 183 26
556 514 68
404 290 99
110 821 83
778 134 18
97 743 29
720 240 57
682 290 82
490 803 13
961 546 93
926 383 19
786 14 72
597 74 17
291 714 20
607 502 69
679 374 65
521 269 50
792 474 27
448 793 48
203 708 29
350 685 95
65 333 51
134 658 82
814 994 50
572 442 40
292 983 9
267 528 43
58 104 33
209 80 94
748 364 99
319 699 91
312 231 93
368 225 13
503 592 69
230 284 16
242 51 75
344 127 19
488 878 47
503 41 73
103 424 63
312 489 42
871 405 7
43 414 22
636 568 21
319 920 33
394 236 7
54 997 6
49 775 46
612 534 57
755 145 55
629 801 5
797 798 9
183 833 5
122 847 46
313 625 34
782 387 3
683 469 10
876 540 82
501 439 100
637 839 3
419 843 3
267 589 9
676 413 21
964 822 67
150 798 3
763 117 58
309 156 70
847 331 82
637 591 56
330 726 82
591 88 36
840 483 70
42 442 75
422 701 33
156 614 58
832 339 63
145 648 67
82 754 47
904 51 8
595 229 88
574 576 38
306 507 4
948 942 14
834 590 71
681 213 73
936 839 28
388 874 98
171 625 8
603 500 11
964 533 15
460 640 48
310 393 62
74 274 17
41 276 91
585 870 52
515 927 98
257 535 53
777 985 3
684 497 66
83 694 30
195 77 52
15 31 19
552 659 14
495 180 100
735 389 63
654 13 45
887 400 100
834 895 80
573 722 43
148 906 89
676 429 62
293 744 95
25 264 58
767 929 95
202 205 26
834 236 83
928 397 59
988 456 95
308 800 59
289 745 7
936 826 88
723 167 63
526 487 6
576 987 26
532 147 50
651 202 19
907 38 3
610 791 63
729 208 39
936 441 48
999 290 38
183 604 92
989 408 47
775 232 14
308 692 81
588 524 48
303 357 39
596 752 90
534 391 11
486 994 75
33 941 5
275 413 21
293 831 42
524 791 31
222 210 93
43 777 91
408 714 22
130 847 6
606 359 74
508 382 21
728 394 1
633 75 17
14 406 80
635 151 95
461 161 45
202 315 78
345 113 25
729 685 34
651 445 17
773 598 16
572 928 43
295 154 95
6 385 37
869 357 6
700 263 79
654 361 69
657 43 88
541 126 24
70 741 3
361 37 86
552 321 43
432 590 79
946 321 90
753 173 3
616 156 17
148 487 86
133 968 91
42 282 63
617 133 51
248 313 33
120 845 81
508 764 60
245 654 85
851 408 75
668 960 29
836 41 16
254 813 35
759 863 54
132 732 36
692 906 17
837 179 7
917 596 59
234 644 55
263 798 3
41 166 74
687 511 99
53 197 39
951 619 81
74 104 65
294 192 19
47 112 58
289 770 11
778 762 85
4 702 32
704 598 25
335 418 36
702 947 24
316 564 22
773 31 9
417 401 34
335 634 14
824 993 77
417 762 64
110 949 51
711 703 70
194 952 33
396 874 35
680 481 83
209 173 58
280 641 87
254 654 4
606 329 73
86 896 73
307 467 46
456 966 67
153 840 20
986 840 64
75 226 61
694 771 35
334 592 6
960 39 24
837 786 24
156 920 65
396 234 17
647 533 69
335 711 99
257 480 41
33 424 14
735 614 83
996 76 63
323 373 48
712 344 4
100 459 91
397 954 60
605 294 100
427 155 54
602 637 87
618 568 89
18 238 81
762 150 8
607 654 11
198 400 55
270 329 46
426 92 28
218 666 3
161 718 9
445 277 97
172 770 1
861 886 63
892 430 68
24 40 10
700 974 15
757 714 35
255 975 44
254 387 8
537 19 95
999 141 46
304 917 1
66 209 99
95 869 22
798 314 53
620 267 56
73 893 36
504 392 36
406 328 1
554 849 73
512 613 66
599 940 27
288 486 67
727 446 100
790 681 33
776 285 4
159 374 76
126 286 23
768 474 12
240 848 19
864 236 84
969 717 72
773 256 84
720 526 76
129 114 28
54 697 13
773 19 8
707 535 8
489 614 12
380 938 19
665 722 67
917 92 4
624 558 70
734 384 72
505 683 73
188 724 49
579 829 69
60 502 6
930 585 88
741 177 1
891 546 33
388 956 26
730 181 84
167 991 1
406 337 39
727 192 48
342 801 63
377 254 29
410 46 93
459 433 24
693 872 87
757 851 35
390 663 9
967 869 16
771 608 84
14 425 24
388 691 28
532 146 83
729 909 2
892 638 86
129 778 72
567 410 58
958 45 72
745 860 17
872 464 1
892 704 93
593 422 15
942 993 76
828 275 78
685 192 39
858 984 76
70 655 59
333 537 36
826 945 9
649 404 1
339 929 5
639 934 72
350 600 44
120 707 70
411 595 19
908 179 57
505 718 66
574 339 17
200 406 70
162 69 18
281 580 49
604 110 57
928 786 63
788 809 87
129 516 18
271 309 51
364 510 96
228 703 94
955 337 48
509 931 77
143 757 41
870 294 82
112 774 88
168 451 80
13 538 43
346 558 5
620 973 18
883 828 29
365 375 81
8 939 40
797 867 73
622 343 91
547 88 42
701 14 50
530 896 10
538 330 51
280 118 20
266 421 58
750 253 55
601 916 97
115 964 41
233 253 31
507 7 94
508 329 61
239 801 56
996 211 3
223 836 66
139 116 59
407 142 93
119 194 57
265 696 2
771 786 24
307 918 8
438 621 44
943 775 96
456 577 72
158 469 22
807 60 90
941 916 37
327 732 14
398 298 54
426 819 14
54 995 88
115 573 36
214 460 63
183 352 27
384 291 78
835 278 66
342 326 42
379 728 60
740 959 89
169 330 8
333 873 23
779 982 90
998 86 28
663 742 15
155 25 96
39 316 36
198 934 89
290 849 51
313 97 17
818 74 83
262 876 36
977 188 71
337 555 90
512 424 35
946 681 70
973 712 34
636 618 13
708 126 12
614 895 38
891 542 15
918 147 8
192 250 33
74 111 54
784 879 6
701 790 66
20 625 64
587 714 35
777 299 68
969 966 51
177 6 39
503 450 48
49 906 75
181 395 36
291 499 87
525 671 82
11 519 52
107 347 45
927 634 56
807 252 31
190 981 86
857 831 42
217 371 35
823 717 39
460 44 98
516 836 38
121 177 34
249 255 70
746 595 34
84 981 86
504 814 86
970 765 45
863 152 33
587 217 88
885 291 46
868 198 99
780 734 95
9 375 28
988 609 46
666 492 7
283 166 17
496 969 45
548 335 1
506 787 4
988 956 69
647 298 56
69 456 98
961 692 81
266 134 57
826 35 57
229 475 84
353 790 36
150 368 82
354 212 48
411 515 46
258 220 23
781 229 2
572 549 58
832 87 74
823 158 32
319 611 62
18 403 52
358 990 50
179 368 11
732 905 90
734 106 37
486 321 77
262 807 37
176 23 88
680 239 61
453 864 22
636 971 49
244 924 76
915 799 61
346 877 85
814 123 63
850 327 100
6 420 54
900 367 86
254 232 65
462 228 51
643 341 45
743 980 21
11 956 85
600 162 8
463 188 8
36 793 25
968 712 52
105 136 55
341 862 65
619 242 76
795 441 24
338 166 19
124 687 68
862 487 93
78 632 30
789 778 32
812 925 93
786 325 17
546 498 41
734 305 66
491 339 55
849 313 65
916 413 25
516 695 95
45 184 90
909 514 60
799 60 22
250 236 46
885 582 26
744 747 13
319 427 89
804 945 57
672 420 7
634 460 58
522 478 89
997 335 83
671 490 14
953 706 100
249 28 86
474 802 29
35 424 79
903 710 2
420 114 72
3 834 33
153 230 78
928 686 51
721 865 59
642 251 71
452 353 11
805 278 6
657 292 12
903 277 17
734 587 48
145 681 77
914 196 41
422 584 2
959 398 84
987 483 48
624 410 1
86 804 27
4 768 94
555 430 70
254 105 65
629 596 91
299 955 9
532 445 78
949 469 70
873 269 31
294 368 49
383 763 98
845 754 82
409 447 93
6 800 10
199 787 20
270 754 43
428 742 89
94 768 13
155 5 35
852 889 88
948 708 61
179 365 34
181 228 52
580 326 97
703 731 32
995 305 45
662 254 62
891 20 9
113 97 58
74 600 55
190 28 48
536 725 49
826 210 77
239 204 78
505 416 17
780 688 11
374 227 16
740 186 64
567 719 25
664 52 58
126 608 5
323 962 8
114 27 9
747 612 11
760 206 62
980 601 83
553 208 1
474 609 74
382 942 74
613 566 41
316 688 24
33 720 93
402 770 34
787 182 54
782 983 14
432 441 48
731 840 63
678 418 60
182 915 56
55 150 73
241 749 63
928 830 36
4 169 17
148 869 61
640 84 1
338 423 70
316 30 65
808 312 94
532 563 84
429 243 19
424 119 15
711 959 49
332 890 53
611 674 17
250 500 2
587 901 38
841 804 83
892 674 2
982 355 17
516 861 86
341 576 70
917 629 12
318 456 50
246 306 21
708 700 65
85 359 14
495 206 76
181 512 6
556 605 68
405 572 41
382 733 28
933 341 86
611 936 26
47 153 65
95 475 15
791 701 57
536 14 49
418 552 11
552 699 15
184 459 34
971 717 41
415 206 95
24 521 65
267 882 61
721 2 84
2 923 67
525 292 49
211 548 43
184 110 12
879 570 29
645 377 59
312 794 90
212 254 11
517 159 64
720 114 85
72 739 62
257 589 55
799 721 36
503 168 77
99 468 87
996 707 97
695 151 70
985 98 36
850 554 73
964 324 53
375 30 100
784 562 34
787 349 15
304 181 23
970 79 85
79 443 72
278 427 70
172 779 82
421 511 40
701 217 76
589 442 91
368 706 8
475 267 69
779 729 25
411 757 66
475 558 42
320 184 17
125 871 73
717 836 48
622 239 80
96 160 64
189 712 70
667 48 91
894 163 82
308 741 17
183 581 57
801 95 67
697 346 67
547 297 93
838 517 72
864 598 51
812 569 39
376 458 41
467 160 31
737 963 27
172 389 98
620 225 34
599 665 80
931 594 57
129 405 22
777 503 33
699 214 67
423 847 63
413 11 66
607 28 100
50 790 11
932 471 33
33 272 58
483 736 52
534 602 29
786 724 5
599 427 5
643 878 4
655 602 33
703 811 24
403 980 50
619 847 16
38 357 78
401 998 32
103 322 48
336 211 83
552 429 66
758 377 68
826 679 30
827 788 25
286 572 70
223 359 95
964 269 73
67 250 14
956 691 24
950 244 73
552 821 22
121 648 11
528 919 78
403 32 6
379 91 8
935 803 46
310 374 24
518 854 17
255 79 67
958 377 67
278 426 53
12 412 91
992 629 32
674 462 22
616 651 34
367 170 4
537 621 6
672 569 34
934 471 75
491 113 54
769 745 80
846 860 56
939 825 83
493 304 41
832 306 90
778 747 73
398 659 74
368 404 97
131 991 51
684 897 77
351 802 68
355 290 71
437 710 84
260 599 23
442 343 72
743 656 24
219 858 15
855 459 30
464 629 8
76 670 57
326 342 82
213 723 59
654 659 30
231 428 29
629 96 59
725 183 48
153 720 100
549 548 34
685 579 33
89 694 86
686 95 37
259 440 53
159 985 75
117 142 84
725 890 81
523 648 81
427 927 43
687 657 60
316 490 36
563 470 79
753 523 85
295 231 89
430 544 36
915 786 84
805 53 30
607 527 59
726 994 49
917 846 49
606 907 13
437 172 9
939 711 2
846 144 55
787 8 37
329 475 15
627 404 62
783 333 59
477 32 75
882 263 83
855 153 88
743 591 84
672 891 83
258 389 32
518 614 58
906 110 8
119 298 88
453 361 36
993 790 15
672 64 77
892 271 45
948 537 24
231 817 39
793 294 10
677 597 48
991 670 33
679 649 34
567 330 91
337 594 24
156 645 35
198 622 26
830 872 93
432 19 14
891 573 83
31 40 96
465 849 9
124 722 75
125 514 33
368 171 100
836 221 29
519 191 23
936 346 79
129 890 68
311 42 52
424 498 13
421 275 84
736 704 57
193 34 29
711 435 64
453 846 21
940 522 45
164 563 94
972 476 31
605 868 50
347 39 48
242 520 89
108 68 50
774 148 17
122 381 10
585 778 14
312 403 66
983 176 90
644 780 27
272 269 97
822 923 58
46 202 63
875 507 72
41 791 47
818 372 59
195 453 13
77 386 18
501 371 42
349 501 27
773 964 69
834 384 61
133 56 30
704 794 98
96 370 92
444 634 76
940 286 79
213 497 54
777 751 34
576 947 33
274 859 13
639 227 66
160 783 37
634 17 61
324 363 68
330 1 86
702 677 44
759 535 6
818 968 39
743 737 65
485 332 85
826 806 27
960 938 43
487 655 26
37 76 15
83 478 34
333 901 99
906 316 38
982 585 89
561 450 50
267 201 39
489 349 44
476 663 2
29 233 100
300 59 15
547 892 20
220 478 10
986 12 58
458 556 2
243 319 52
698 154 91
851 166 22
209 60 48
935 414 33
385 706 97
749 185 7
348 538 2
928 923 4
484 312 25
297 226 23
416 217 81
438 899 13
174 780 11
285 504 15
790 256 70
764 467 27
646 938 17
439 269 17
413 933 27
59 831 16
398 34 54
409 436 61
629 207 43
911 61 88
132 430 43
171 631 36
663 668 83
753 683 22
393 128 80
132 501 64
663 512 92
927 487 69
908 424 21
695 381 87
974 390 49
103 134 72
597 369 5
828 734 91
542 579 9
723 51 42
411 743 75
953 432 55
64 454 88
178 657 47
151 597 5
497 134 91
821 935 1
582 360 77
161 579 4
476 644 47
756 733 32
965 863 40
351 42 89
932 256 14
416 770 78
613 469 58
713 200 63
695 743 11
638 264 52
584 273 54
819 118 25
892 117 38
480 0 29
490 241 4
366 502 61
989 405 68
110 108 53
669 840 29
132 231 7
690 313 49
960 325 67
107 694 2
319 641 20
191 134 19
771 18 80
976 540 36
645 174 32
896 8 85
352 737 9
494 932 96
587 492 19
275 292 95
862 269 89
168 433 14
469 355 12
891 82 21
605 867 46
830 267 96
18 920 30
842 785 61
189 100 82
922 572 91
206 159 62
931 423 20
452 418 90
627 932 37
402 338 55
403 483 77
139 770 77
177 301 88
838 554 51
99 714 51
646 614 66
655 70 53
6 632 51
840 930 62
408 85 55
466 612 50
767 630 16
650 568 6
635 409 69
797 780 61
320 306 96
226 191 86
862 726 38
425 712 65
11 300 62
644 652 88
486 951 37
855 190 90
33 297 100
594 856 22
341 485 18
480 366 75
456 621 6
467 424 27
8 23 71
160 866 46
280 548 89
420 895 42
632 976 58
956 130 38
639 323 32
847 972 57
775 629 53
554 271 24
23 160 92
595 768 55
542 85 77
229 480 77
737 49 99
452 297 52
484 984 13
926 377 23
295 685 86
105 404 88
188 477 95
185 928 68
476 241 37
811 237 79
664 62 71
358 263 85
570 370 57
29 499 39
330 860 93
660 239 62
243 201 46
138 170 43
341 258 39
628 45 80
300 201 88
679 133 21
539 1 69
220 651 22
262 368 78
527 691 62
863 76 70
172 445 4
695 800 87
773 977 23
860 638 26
533 286 67
600 80 83
444 346 71
696 161 90
364 436 78
917 919 46
354 1 60
392 240 78
59 636 86
638 580 94
537 901 8
750 215 27
979 626 47
921 936 95
973 65 57
843 93 7
234 910 91
898 937 30
854 19 66
192 818 21
541 373 75
938 898 20
624 807 54
513 17 69
299 557 64
661 789 49
618 973 77
142 941 73
885 94 57
976 81 3
834 42 57
894 974 72
276 547 2
298 825 11
427 18 15
489 587 89
497 611 29
86 462 35
346 934 89
756 817 5
52 315 44
23 213 17
93 431 90
585 560 52
699 410 62
938 387 55
49 90 72
940 917 58
871 64 34
673 448 87
233 51 22
912 373 25
25 940 90
36 189 67
514 489 50
632 187 42
562 586 86
997 198 67
740 246 53
160 310 75
571 560 1
697 136 70
753 517 49
561 112 81
481 305 20
229 593 92
575 612 25
83 419 41
766 21 39
54 37 29
103 335 100
919 112 92
602 547 71
312 739 22
498 991 55
581 585 62
675 122 39
438 697 26
189 677 100
458 86 10
93 288 50
302 746 40
125 457 1
387 394 16
958 893 70
89 83 100
227 610 15
220 752 95
481 843 56
899 20 91
761 71 35
129 118 98
937 530 50
104 105 80
800 8 26
127 802 75
650 992 52
109 314 46
177 339 80
851 957 53
399 269 88
441 869 50
200 110 61
886 849 70
539 108 45
488 813 17
552 927 37
246 119 9
555 785 2
959 713 94
749 341 40
292 749 71
618 182 86
438 648 20
148 712 87
922 220 57
346 735 33
300 244 100
323 32 21
64 552 67
636 101 37
217 428 94
162 860 37
415 169 35
81 507 28
314 657 7
401 532 25
763 974 89
314 644 94
967 946 58
43 627 99
794 522 21
802 470 22
568 717 70
388 984 27
524 349 82
120 755 17
704 446 67
896 799 77
246 175 55
112 593 30
930 139 8
592 62 74
252 272 70
635 728 79
392 608 49
70 676 15
109 437 31
922 359 88
759 360 18
137 813 13
237 67 91
95 226 42
302 54 74
531 150 49
546 850 71
108 218 26
311 660 15
30 208 19
174 175 52
191 731 87
468 435 46
249 170 81
292 677 51
340 503 19
983 671 27
955 962 97
835 883 73
717 675 65
81 735 71
854 744 65
735 778 82
27 880 65
572 900 80
219 852 5
562 573 87
850 969 92
228 753 11
49 418 30
517 39 92
353 360 42
340 512 90
632 483 12
352 351 19
522 700 47
263 605 62
559 41 36
116 489 74
647 602 84
705 759 80
714 792 88
184 206 15
227 63 6
432 928 3
78 370 28
322 462 26
554 272 87
884 614 72
976 554 91
887 90 62
295 132 66
237 541 95
48 44 81
121 364 51
783 708 28
601 63 82
204 144 36
852 766 56
906 647 56
508 227 73
347 955 1
274 610 38
553 672 50
741 311 6
357 352 90
258 1 53
955 499 74
778 997 100
374 720 64
807 9 22
691 642 59
410 573 43
979 613 27
4 56 41
467 211 92
339 605 65
742 531 68
514 142 67
595 728 62
98 832 61
8 90 23
152 139 5
620 716 74
866 814 58
559 521 86
898 683 72
155 427 81
140 311 64
859 215 54
746 613 87
102 939 35
183 891 4
704 628 90
419 751 11
768 817 57
157 932 47
97 576 50
778 388 98
928 61 72
630 827 70
908 530 15
641 653 11
641 163 11
364 156 56
968 496 30
453 32 93
780 145 76
353 46 10
629 188 49
545 742 28
267 654 84
542 77 49
255 850 53
123 837 55
697 78 32
866 54 19
82 512 60
736 618 93
634 946 92
854 444 75
867 213 96
880 232 1
147 846 62
26 123 79
256 683 72
270 171 15
774 572 90
986 295 32
402 83 32
124 137 21
758 718 66
29 750 50
269 454 16
880 523 30
451 663 90
712 217 41
619 627 100
193 862 98
257 911 69
304 385 72
934 241 84
770 829 81
58 135 95
849 829 80
572 458 41
569 442 27
656 780 1
340 900 52
565 335 49
269 785 66
394 209 89
859 907 2
406 541 92
427 671 73
631 417 16
896 91 30
37 586 41
856 980 36
628 56 21
929 456 15
857 511 74
651 739 60
76 20 16
444 500 81
511 321 47
96 342 1
873 994 72
400 566 69
51 733 41
914 792 27
722 152 63
590 865 51
260 728 38
756 140 63
853 231 73
810 176 7
269 568 64
790 809 4
312 682 75
519 999 27
396 192 56
33 487 11
885 546 86
294 800 29
501 228 48
151 102 7
122 474 46
869 408 81
234 291 77
871 949 91
0 679 64
460 505 59
820 552 65
968 560 76
573 987 58
345 333 84
362 217 69
282 889 76
487 521 72
510 834 28
88 988 70
698 24 27
752 769 26
222 323 39
909 917 19
664 410 37
181 253 90
307 616 69
716 130 61
380 816 78
791 282 92
484 283 81
604 141 6
197 274 50
794 267 5
35 795 58
680 774 18
595 51 59
433 111 35
495 618 96
529 155 46
596 851 72
666 317 94
50 638 4
595 904 42
919 72 90
421 617 2
819 716 3
382 966 71
389 304 72
359 90 90
517 628 46
27 781 54
897 812 69
40 632 17
794 242 20
273 586 76
542 154 47
14 413 83
648 136 13
904 986 15
341 430 4
98 100 1
32 28 62
27 223 78
272 422 85
839 408 20
666 122 93
910 891 26
219 838 75
709 229 11
504 377 75
646 933 64
6 498 92
498 164 62
264 505 63
557 729 38
639 684 21
67 18 82
670 838 69
976 600 19
451 539 75
198 565 42
904 908 60
251 969 12
788 292 21
402 95 53
108 280 5
57 842 54
760 963 67
976 640 93
770 520 24
802 194 95
180 672 82
947 674 59
567 836 61
125 407 90
570 391 77
996 738 32
297 339 56
872 62 74
600 441 77
259 39 75
352 946 89
644 851 48
481 237 9
957 916 25
791 272 43
328 511 55
184 969 10
563 644 32
211 431 27
433 709 66
661 544 40
423 362 77
60 260 82
327 532 12
124 647 12
934 392 36
370 296 68
307 698 17
471 621 49
448 206 96
984 317 40
392 665 49
607 307 80
490 827 33
166 686 33
582 248 5
825 297 13
351 815 37
175 768 51
635 565 88
599 900 76
784 137 24
567 416 17
140 483 87
402 308 57
128 533 78
867 273 56
592 167 4
633 940 84
627 373 1
689 797 51
517 455 38
808 618 94
914 394 52
375 2 63
111 246 93
807 109 45
862 576 8
117 802 7
923 791 90
308 99 16
516 933 42
229 985 5
88 984 93
447 730 84
678 708 79
58 7 88
831 150 68
890 664 32
114 441 47
640 554 44
296 157 23
107 449 45
118 456 3
277 401 64
968 389 79
939 59 57
95 982 93
421 568 34
8 469 58
622 101 49
563 583 13
583 445 47
184 589 34
166 896 47
526 74 56
377 442 71
859 424 56
582 759 64
131 32 66
766 593 18
904 813 56
365 19 28
531 181 21
289 16 3
86 527 71
30 529 32
793 208 55
361 760 94
667 263 54
399 577 56
285 971 54
7 125 17
669 410 45
819 296 19
226 240 73
719 53 75
